timestamp_utc,dataset,dataset_purpose,prompt_index,gamma,max_new_tokens,generated_tokens,rounds,accepted_draft_tokens,verified_draft_tokens,proposed_draft_tokens,acceptance_rate,mean_accepted_per_round,mean_verified_per_round,mean_proposed_per_round,temperature,top_p,seed
2026-07-07T07:44:54,mbpp,code generation,462,4,128,128,37,91,110,148,0.8272727272727273,2.4594594594594597,2.972972972972973,4.0,1.0,1.0,20260707
2026-07-07T07:44:59,mbpp,code generation,308,4,128,129,35,94,108,140,0.8703703703703703,2.6857142857142855,3.085714285714286,4.0,1.0,1.0,20260707
2026-07-07T07:45:04,mbpp,code generation,361,4,128,130,33,97,111,132,0.8738738738738738,2.9393939393939394,3.3636363636363638,4.0,1.0,1.0,20260707
2026-07-07T07:45:09,mbpp,code generation,414,4,128,129,32,97,109,128,0.8899082568807339,3.03125,3.40625,4.0,1.0,1.0,20260707
2026-07-07T07:45:14,mbpp,code generation,243,4,128,128,32,96,108,128,0.8888888888888888,3.0,3.375,4.0,1.0,1.0,20260707
2026-07-07T07:45:20,mbpp,code generation,269,4,128,132,34,98,113,136,0.8672566371681416,2.8823529411764706,3.323529411764706,4.0,1.0,1.0,20260707
2026-07-07T07:45:25,mbpp,code generation,253,4,128,129,38,91,111,152,0.8198198198198198,2.3947368421052633,2.9210526315789473,4.0,1.0,1.0,20260707
2026-07-07T07:45:31,mbpp,code generation,105,4,128,132,34,98,112,136,0.875,2.8823529411764706,3.2941176470588234,4.0,1.0,1.0,20260707
2026-07-07T07:45:36,mbpp,code generation,475,4,128,128,36,92,108,144,0.8518518518518519,2.5555555555555554,3.0,4.0,1.0,1.0,20260707
2026-07-07T07:45:42,mbpp,code generation,129,4,128,131,36,95,112,144,0.8482142857142857,2.638888888888889,3.111111111111111,4.0,1.0,1.0,20260707
2026-07-07T07:45:48,mbpp,code generation,283,4,128,129,41,88,114,164,0.7719298245614035,2.1463414634146343,2.7804878048780486,4.0,1.0,1.0,20260707
2026-07-07T07:45:55,mbpp,code generation,38,4,128,129,45,84,114,180,0.7368421052631579,1.8666666666666667,2.533333333333333,4.0,1.0,1.0,20260707
2026-07-07T07:46:00,mbpp,code generation,199,4,128,128,33,95,110,132,0.8636363636363636,2.878787878787879,3.3333333333333335,4.0,1.0,1.0,20260707
2026-07-07T07:46:05,mbpp,code generation,18,4,128,128,28,100,104,112,0.9615384615384616,3.5714285714285716,3.7142857142857144,4.0,1.0,1.0,20260707
2026-07-07T07:46:09,mbpp,code generation,189,4,128,128,30,98,107,120,0.9158878504672897,3.2666666666666666,3.566666666666667,4.0,1.0,1.0,20260707
2026-07-07T07:46:15,mbpp,code generation,481,4,128,132,39,93,117,156,0.7948717948717948,2.3846153846153846,3.0,4.0,1.0,1.0,20260707
2026-07-07T07:46:21,mbpp,code generation,272,4,128,131,34,97,111,136,0.8738738738738738,2.8529411764705883,3.264705882352941,4.0,1.0,1.0,20260707
2026-07-07T07:46:26,mbpp,code generation,202,4,128,129,33,96,109,132,0.8807339449541285,2.909090909090909,3.303030303030303,4.0,1.0,1.0,20260707
2026-07-07T07:46:30,mbpp,code generation,58,4,128,132,31,101,110,124,0.9181818181818182,3.2580645161290325,3.5483870967741935,4.0,1.0,1.0,20260707
2026-07-07T07:46:37,mbpp,code generation,369,4,128,129,41,88,112,164,0.7857142857142857,2.1463414634146343,2.731707317073171,4.0,1.0,1.0,20260707
2026-07-07T07:46:41,mbpp,code generation,6,4,128,128,30,98,105,120,0.9333333333333333,3.2666666666666666,3.5,4.0,1.0,1.0,20260707
2026-07-07T07:46:47,mbpp,code generation,86,4,128,131,38,93,114,152,0.8157894736842105,2.4473684210526314,3.0,4.0,1.0,1.0,20260707
2026-07-07T07:46:52,mbpp,code generation,439,4,128,132,32,100,112,128,0.8928571428571429,3.125,3.5,4.0,1.0,1.0,20260707
2026-07-07T07:46:58,mbpp,code generation,131,4,128,128,36,92,111,144,0.8288288288288288,2.5555555555555554,3.0833333333333335,4.0,1.0,1.0,20260707
2026-07-07T07:47:03,mbpp,code generation,370,4,128,131,32,99,112,128,0.8839285714285714,3.09375,3.5,4.0,1.0,1.0,20260707
2026-07-07T07:47:08,mbpp,code generation,140,4,128,128,36,92,108,144,0.8518518518518519,2.5555555555555554,3.0,4.0,1.0,1.0,20260707
2026-07-07T07:47:12,mbpp,code generation,218,4,128,129,27,102,105,108,0.9714285714285714,3.7777777777777777,3.888888888888889,4.0,1.0,1.0,20260707
2026-07-07T07:47:19,mbpp,code generation,85,4,128,129,40,89,114,160,0.7807017543859649,2.225,2.85,4.0,1.0,1.0,20260707
2026-07-07T07:47:24,mbpp,code generation,118,4,128,129,37,92,111,148,0.8288288288288288,2.4864864864864864,3.0,4.0,1.0,1.0,20260707
