context_len,source_type,entropy_bin,n,entropy_mean,entropy_min,entropy_max,empirical_accept_rate,mean_alpha_sampled,mean_exact_accept_prob,mean_q_sample,mean_p_sample,mean_target_entropy,empirical_accept_se
64,json_config,9,500,3.9672155,3.7271335,5.416029,0.226,0.23160242,0.22947621,0.05207385,0.05638099,0.9029344,0.01870422412183943
64,math,0,500,0.5812344,0.0011400155,1.2298226,0.84,0.8380795,0.8329798,0.82648754,0.82198364,0.13912152,0.01639512122553536
64,math,1,500,1.7176671,1.2320408,2.096293,0.524,0.5257565,0.52909344,0.4730946,0.44283324,0.42931792,0.02233490541730589
64,math,2,500,2.4484053,2.097186,2.7936661,0.408,0.42802817,0.39336523,0.29744104,0.32208157,0.5672354,0.021978898971513564
64,math,3,500,3.0990646,2.7942097,3.3729186,0.292,0.29164088,0.30423957,0.19584568,0.19884402,0.63624066,0.0203340109176719
64,math,4,500,3.612317,3.3759975,3.845567,0.252,0.24071892,0.24669911,0.13422,0.15140745,0.73355913,0.019416281827373642
64,math,5,500,4.0818624,3.8464112,4.3314133,0.176,0.18119423,0.19977655,0.10130692,0.10934135,0.759408,0.01703079563614102
64,math,6,500,4.595932,4.3318243,4.874332,0.16,0.16315456,0.15257579,0.073702514,0.087855086,0.8532027,0.016395121225535356
64,math,7,500,5.162279,4.875621,5.468953,0.118,0.1157553,0.11387558,0.041914638,0.045446847,0.9126157,0.014427473791346842
64,math,8,500,5.7990255,5.4692674,6.187579,0.076,0.081564866,0.07281208,0.02425205,0.02069794,0.9177318,0.011851075900524812
64,math,9,500,6.7317233,6.1888723,7.9612494,0.03,0.03657237,0.04218895,0.011057955,0.012835187,0.8504193,0.00762889244910426
64,natural_language,0,500,0.32901543,0.0009136037,0.8091678,0.892,0.8886901,0.8908494,0.88350654,0.8736072,0.09911984,0.013880633991284403
64,natural_language,1,500,1.4346367,0.81606215,2.0060687,0.59,0.59969264,0.59031796,0.5054096,0.5167813,0.4784165,0.02199545407578575
64,natural_language,2,500,2.3677673,2.0122938,2.7214987,0.426,0.44203785,0.41724792,0.28569698,0.2852051,0.99050313,0.02211442967837968
64,natural_language,3,500,3.0486176,2.721515,3.359297,0.338,0.33503228,0.34397045,0.19107892,0.163376,1.2257944,0.02115447943108031
64,natural_language,4,500,3.6191952,3.3593721,3.8834708,0.338,0.3226695,0.3087968,0.13699986,0.12888512,1.4774097,0.02115447943108031
64,natural_language,5,500,4.1501513,3.8834727,4.40515,0.246,0.24512029,0.27278262,0.0916924,0.099161826,1.5589548,0.019260529587734602
64,natural_language,6,500,4.659965,4.406072,4.9056025,0.194,0.20557725,0.22903953,0.07137093,0.0756598,1.5953124,0.01768411716767337
64,natural_language,7,500,5.1729903,4.907215,5.453009,0.21,0.21272284,0.19542272,0.042320564,0.047197316,1.8862524,0.01821537811850196
64,natural_language,8,500,5.7030687,5.453846,5.9942865,0.17,0.16466564,0.16324018,0.025995418,0.0340299,2.010522,0.016798809481626965
64,natural_language,9,500,6.428662,5.994361,7.6207867,0.168,0.1602011,0.1455976,0.010710263,0.014278837,2.4170167,0.016719808611344807
128,chat,0,500,0.16332021,0.0005204987,0.47237065,0.956,0.9511653,0.9554341,0.9512357,0.94971615,0.027860913,0.009172131704244116
128,chat,1,500,0.90890455,0.47237065,1.369209,0.726,0.7234627,0.7065748,0.7115738,0.69764596,0.18172155,0.01994612744369192
128,chat,2,500,1.8094703,1.3737817,2.1521616,0.466,0.45168924,0.50995475,0.39275414,0.3906167,0.41135237,0.022308921982023246
128,chat,3,500,2.5163488,2.1521616,2.8550162,0.402,0.39468652,0.40888065,0.26971853,0.29110825,0.5357884,0.021926969694875762
128,chat,4,500,3.1291559,2.85622,3.3753393,0.348,0.34267694,0.31097624,0.187203,0.22371699,0.6658266,0.02130239423163509
128,chat,5,500,3.6361742,3.3753393,3.919631,0.298,0.2972618,0.26177466,0.13770486,0.1701653,0.7567069,0.020454632727086544
128,chat,6,500,4.188309,3.919631,4.4433465,0.216,0.2236996,0.20112643,0.08657014,0.12020555,0.77030766,0.01840347793217358
128,chat,7,500,4.722111,4.4433465,5.017518,0.16,0.1604771,0.15988937,0.054520972,0.0720429,0.9808024,0.016395121225535356
128,chat,8,500,5.346566,5.0240145,5.6486454,0.098,0.09157132,0.10110471,0.030955948,0.02278209,1.0592176,0.013296315279053818
