context_len,source_type,entropy_bin,n,entropy_mean,entropy_min,entropy_max,greedy_accept_top1_rate,greedy_accept_top2_rate,greedy_top2_gain_mean,seq_accept_top1_mean,seq_accept_top2_mean,seq_top2_gain_mean,seq_minus_greedy_top2,target_mass_on_draft_top2_mean,draft_top2_mass_mean,target_entropy_mean,seq_relative_gain_over_greedy_top2
128,natural_language,1,500,1.3344728336334228,0.7443521022796631,1.896022915840149,0.732,0.86,0.128,0.7583904969661367,0.8981276538274134,0.13973715699969663,0.038127653827413455,0.8219898464995448,0.8297407195568085,0.4610134472924183,0.044334481194666805
128,natural_language,2,500,2.326740726232529,1.8984973430633545,2.731665849685669,0.524,0.652,0.128,0.5948655955795643,0.7614854096474118,0.1666198135502873,0.10948540964741182,0.5837817055826916,0.6090918014943599,0.885109666197337,0.1679224074346807
128,natural_language,3,500,3.042623635292053,2.73276424407959,3.3355894088745117,0.44,0.57,0.13,0.5363105173278622,0.7246072235554679,0.18829670593565231,0.15460722355546797,0.49257418366438516,0.5117054398059845,1.2536033057173845,0.27124074307976836
128,natural_language,4,500,3.6158405051231384,3.3371078968048096,3.877199649810791,0.388,0.528,0.14,0.5089316326030209,0.7024036465718809,0.1934720141281248,0.1744036465718809,0.4239228425711522,0.42317489433288574,1.4181183597669587,0.33030993668916836
128,natural_language,5,500,4.107954823017121,3.8772239685058594,4.333159446716309,0.318,0.476,0.158,0.4813674740652566,0.6943018380289959,0.21293436358497228,0.21830183802899594,0.38165213489738087,0.3609752894639969,1.64743663588434,0.45861730678360496
128,natural_language,6,500,4.567044686317444,4.333247184753418,4.812335014343262,0.282,0.42,0.138,0.42371594910012816,0.6313092130265475,0.20759326372695627,0.21130921302654754,0.3282013354828303,0.30529658651351926,1.6846762406494817,0.5031171738727322
128,natural_language,7,500,5.0716489915847776,4.812641143798828,5.321052074432373,0.228,0.316,0.088,0.4022401909292529,0.5631656026651156,0.16092541181367082,0.2471656026651156,0.23973176969724244,0.2362479558289051,1.8662442338609835,0.7821696286870747
128,natural_language,8,500,5.6330586643219,5.3214802742004395,5.973587989807129,0.18,0.254,0.074,0.353299074535986,0.5133466121773681,0.16004753735810037,0.2593466121773681,0.18354892154171204,0.17031817011535166,2.1100114653147757,1.0210496542416068
128,natural_language,9,500,6.424431351661682,5.973764419555664,7.925081253051758,0.116,0.182,0.066,0.2799481799502031,0.432373249880964,0.15242507030972735,0.250373249880964,0.12841683604306606,0.10126340486854314,2.4956208989538426,1.3756771971481538
256,chat,0,500,0.12009289354388966,1.9101078578387387e-05,0.3714149594306946,0.988,0.996,0.008,0.9881959587308811,0.994948340550327,0.006752381767291808,-0.0010516594496730036,0.9939493482683028,0.9912569017410279,0.016168747660991245,-0.0010558829815994013
256,chat,1,500,0.7622055673599243,0.3747776746749878,1.1973750591278076,0.88,0.936,0.056,0.8754714323986031,0.9464189044014679,0.07094747222651222,0.010418904401467866,0.9240248229673852,0.9259548120498657,0.13554874448878804,0.011131308121226351
256,chat,2,500,1.5865875587463378,1.1991875171661377,1.9630399942398071,0.722,0.852,0.13,0.7468188766017166,0.8862256212490824,0.13940674475448533,0.03422562124908246,0.8236755443891275,0.7813699114322662,0.33267308242927685,0.04017091695901697
256,chat,3,500,2.2798544223308563,1.964801549911499,2.617371082305908,0.602,0.756,0.154,0.6452660895984337,0.8165654319411635,0.17129934248133588,0.06056543194116348,0.7077542743381607,0.6434948254227638,0.4671365585039347,0.08011300521317921
256,chat,4,500,2.9065234375,2.617371082305908,3.1938014030456543,0.46,0.594,0.134,0.5514926140599749,0.7148554761384148,0.16336286199695252,0.12085547613841485,0.5459127501001675,0.5296453300714493,0.7061773244710516,0.20346039753941894
256,chat,5,500,3.5007453236579895,3.193861484527588,3.7760467529296875,0.416,0.556,0.14,0.4957351233354388,0.669015538558473,0.1732804148123952,0.1130155385584729,0.5071565092583105,0.4403206985294819,0.7781010430257082,0.20326535711955557
256,chat,6,500,4.072530349254608,3.7760534286499023,4.3528337478637695,0.312,0.438,0.126,0.42471819058856763,0.5893391431175012,0.1646209526227451,0.15133914311750124,0.38981807417239633,0.3528743060529232,0.8946741308474957,0.34552315780251425
256,chat,7,500,4.629130867958069,4.355630874633789,4.900518894195557,0.218,0.324,0.106,0.33251613259619345,0.5001360110824589,0.16761987883421708,0.17613601108245885,0.2791940659182054,0.2750113718211651,1.0312752402221321,0.5436296638347495
256,chat,8,500,5.217331163406372,4.900518894195557,5.5840864181518555,0.176,0.254,0.078,0.29820301061232674,0.42565377098286616,0.12745076015263876,0.17165377098286616,0.22778446505376057,0.20082758699357509,1.0746120535813826,0.67580224796404
256,chat,9,500,6.153452166557312,5.585214614868164,7.437374591827393,0.078,0.128,0.05,0.19611111387584002,0.3079809784281569,0.1118698641563173,0.1799809784281569,0.11804820712277626,0.11378184218704701,1.1364358908043033,1.4061013939699758
256,code,0,500,0.2968810018226504,0.002566433511674404,0.6469535231590271,0.91,0.932,0.022,0.9025931471472866,0.9299943732805187,0.027401226137853885,-0.002005626719481346,0.9224066597721465,0.9745430283546448,0.09502910545335232,-0.0021519599994435042
256,code,1,500,1.0947187535762788,0.6473547220230103,1.598018765449524,0.734,0.798,0.064,0.7396291225823672,0.825869621044844,0.08624049874547059,0.027869621044843917,0.7929122601240912,0.8815135905742645,0.2109806531721029,0.03492433714892721
256,code,2,500,2.1082087881565093,1.599121332168579,2.546219825744629,0.498,0.648,0.15,0.5176348186661099,0.698471213382898,0.18083639491217168,0.05047121338289795,0.6391317495931282,0.7060657750964164,0.3139999108817677,0.07788767497360795
