sample_id,context_len,draft_entropy_nats,draft_entropy_norm,target_entropy_nats,sampled_token_id,q_sample,p_sample,alpha_sampled,accepted,exact_accept_prob,q_max,p_at_q_argmax
1203,64,6.620743,0.6382367,5.528327,2972,0.0029164152,0.0010133854,0.34747636,0,0.2854594,0.0435313,0.00049775816
1204,64,1.7219797,0.16599809,0.17892414,29900,0.34822726,0.9698813,1.0,1,0.3783455,0.34822726,0.9698813
1205,64,5.2337675,0.5045329,0.8242821,10311,0.04611627,0.04125966,0.8946877,1,0.14562303,0.093157426,4.645937e-05
1206,64,4.9099445,0.4733165,0.001716295,30650,9.657351e-05,1.1357247e-10,1.176021e-06,0,0.00015020676,0.0940107,4.2222496e-06
1207,64,0.62900966,0.060636256,0.3275485,29889,0.9069573,0.9212029,1.0,1,0.9153545,0.9069573,0.9212029
1208,64,1.7449554,0.16821294,6.127443e-05,376,0.7837269,0.99999654,1.0,1,0.7837304,0.7837269,0.99999654
1209,64,1.8714205,0.18040411,6.6900495e-05,376,0.76813734,0.9999962,1.0,1,0.7681412,0.76813734,0.9999962
1210,64,3.0204935,0.29117423,2.1571827,297,0.00017618971,1.2366402e-09,7.0187994e-06,0,0.70832366,0.11537424,0.29614016
1211,64,3.1428232,0.30296677,2.472995,29947,0.10113687,0.06929852,0.68519545,0,0.7201024,0.11916835,0.07038981
1212,64,2.878523,0.27748835,1.3616334,29892,0.027743556,0.38116023,1.0,1,0.2057707,0.22869256,0.16913883
1213,64,5.094254,0.49108386,0.0022209121,29871,0.15909904,0.00015355299,0.0009651409,0,0.00026711135,0.15909904,0.00015355299
1214,64,2.6251078,0.25305924,0.003221183,418,0.58009183,0.9996948,1.0,1,0.580397,0.58009183,0.9996948
1215,64,1.6108978,0.15528984,2.2061992,29941,0.20736946,0.084688514,0.40839434,0,0.44572368,0.48592997,0.091570124
1216,64,5.2266607,0.5038478,0.03508549,29874,0.026513314,1.6276257e-09,6.1388995e-08,0,0.009448597,0.11162522,1.1815295e-09
1217,64,4.196306,0.4045221,0.024764812,29882,0.012809798,9.61398e-09,7.5051764e-07,0,0.00017814244,0.42420226,5.5758544e-08
1218,64,3.391036,0.32689437,1.96648,177,0.1470705,0.00030639442,0.0020833167,0,0.30465683,0.1470705,0.00030639442
1219,64,2.1314032,0.20546633,2.2728407,29900,0.43572783,0.09994711,0.22937968,0,0.5935637,0.43572783,0.09994711
1220,64,2.5020165,0.2411933,1.116999,29900,0.18904023,1.5674605e-05,8.291677e-05,0,0.21609142,0.18904023,1.5674605e-05
1221,64,0.28813207,0.027775805,0.09044718,29889,0.9626644,0.9835279,1.0,1,0.9637721,0.9626644,0.9835279
1222,64,6.1039023,0.5884135,0.00089807354,1115,0.11905867,1.02211024e-10,8.5849294e-10,0,0.00045700883,0.11905867,1.02211024e-10
1223,64,4.473917,0.43128362,0.32870108,2582,0.4152209,0.9462017,1.0,1,0.44285282,0.4152209,0.9462017
1224,64,2.5728016,0.24801694,2.3223622,29947,0.15348837,0.08604464,0.5605939,1,0.8469768,0.15348837,0.08604464
1225,64,2.2127595,0.21330905,2.295761,29900,0.36428595,0.11007904,0.30217758,0,0.68702734,0.36428595,0.11007904
1226,64,1.5557458,0.14997321,1.8592355,29941,0.0803124,0.09326367,1.0,1,0.6427571,0.46944404,0.11606852
1227,64,2.8700233,0.27666897,2.4285598,29900,0.14067417,0.066270605,0.4710929,0,0.72754866,0.14067417,0.066270605
1228,64,4.7112675,0.45416412,1.8391814,353,0.10936577,0.55427843,1.0,1,0.29402685,0.10936577,0.55427843
1229,64,0.52724254,0.05082595,0.0010502591,29871,0.94311416,0.9999231,1.0,1,0.9431793,0.94311416,0.9999231
1230,64,0.448218,0.043208018,0.07499788,29871,0.95011544,0.9882244,1.0,1,0.952182,0.95011544,0.9882244
1231,64,2.5876727,0.2494505,0.0048078536,539,0.036921844,8.7467844e-05,0.0023689999,0,0.57354957,0.5730602,0.99951077
1232,64,2.5889742,0.24957597,2.3098867,29945,0.08598478,0.07822156,0.909714,0,0.5919842,0.13213946,0.03111439
1233,64,4.9727645,0.47937232,2.0869217,31264,0.00042780253,5.667569e-05,0.13248096,0,0.11111303,0.08918833,0.00034718073
