prompt_id,method,budget,round,generated_tokens,decode_time_s,total_round_time_s,round_tps,input_len
1,ad,0,36,1,0.014357488602399826,0.014357488602399826,69.65006399746345,43
1,ad,0,37,1,0.014361489564180374,0.014361489564180374,69.63066021327928,44
1,ad,0,38,1,0.014352675527334213,0.014352675527334213,69.67342068700235,45
1,ad,0,39,1,0.01432950422167778,0.01432950422167778,69.7860850263886,46
1,ad,0,40,1,0.014335818588733673,0.014335818588733673,69.75534698701381,47
1,ad,0,41,1,0.014350764453411102,0.014350764453411102,69.68269901205892,48
1,ad,0,42,1,0.014355551451444626,0.014355551451444626,69.65946263940756,49
1,ad,0,43,1,0.014374911785125732,0.014374911785125732,69.56564429388277,50
1,ad,0,44,1,0.014393102377653122,0.014393102377653122,69.4777243822437,51
1,ad,0,45,1,0.014364704489707947,0.014364704489707947,69.6150763641871,52
1,ad,0,46,1,0.014407683163881302,0.014407683163881302,69.40741190831469,53
1,ad,0,47,1,0.014405857771635056,0.014405857771635056,69.41620664678412,54
1,ad,0,48,1,0.014408227056264877,0.014408227056264877,69.40479186612953,55
2,ad,0,1,1,0.015030153095722198,0.015030153095722198,66.53292176276067,9
2,ad,0,2,1,0.014343135058879852,0.014343135058879852,69.71976460480296,10
2,ad,0,3,1,0.014346100389957428,0.014346100389957428,69.70535356772082,11
2,ad,0,4,1,0.01432647556066513,0.01432647556066513,69.8008380194782,12
2,ad,0,5,1,0.014340631663799286,0.014340631663799286,69.73193534594057,13
2,ad,0,6,1,0.014347445219755173,0.014347445219755173,69.6988198723413,14
2,ad,0,7,1,0.014322280883789062,0.014322280883789062,69.82128112931149,15
2,ad,0,8,1,0.014365755021572113,0.014365755021572113,69.60998558713868,16
2,ad,0,9,1,0.01434122771024704,0.01434122771024704,69.72903716503181,17
2,ad,0,10,1,0.014368943870067596,0.014368943870067596,69.59453729115971,18
2,ad,0,11,1,0.014357246458530426,0.014357246458530426,69.65123868900677,19
2,ad,0,12,1,0.014305800199508667,0.014305800199508667,69.90171720938372,20
2,ad,0,13,1,0.014325592666864395,0.014325592666864395,69.80513988178902,21
2,ad,0,14,1,0.014355450868606567,0.014355450868606567,69.65995071508794,22
2,ad,0,15,1,0.014329984784126282,0.014329984784126282,69.78374471881698,23
2,ad,0,16,1,0.014382749795913696,0.014382749795913696,69.52773386102506,24
2,ad,0,17,1,0.014333128929138184,0.014333128929138184,69.76843681124464,25
2,ad,0,18,1,0.01436401903629303,0.01436401903629303,69.61839840739123,26
2,ad,0,19,1,0.014300975948572159,0.014300975948572159,69.9252976577338,27
2,ad,0,20,1,0.014345407485961914,0.014345407485961914,69.70872043743456,28
2,ad,0,21,1,0.014334183186292648,0.014334183186292648,69.7633054498892,29
2,ad,0,22,1,0.014359019696712494,0.014359019696712494,69.64263724973861,30
2,ad,0,23,1,0.014341551810503006,0.014341551810503006,69.72746138027073,31
2,ad,0,24,1,0.014298152178525925,0.014298152178525925,69.93910734156808,32
2,ad,0,25,1,0.014351878315210342,0.014351878315210342,69.67729087698469,33
2,ad,0,26,1,0.014332953840494156,0.014332953840494156,69.76928908922818,34
2,ad,0,27,1,0.014326699078083038,0.014326699078083038,69.79974902451873,35
2,ad,0,28,1,0.01433682069182396,0.01433682069182396,69.75047128616755,36
2,ad,0,29,1,0.014326073229312897,0.014326073229312897,69.80279829603815,37
2,ad,0,30,1,0.014345753937959671,0.014345753937959671,69.7070369619225,38
