context_len,draft_len,classic_spec_sampling,target_only
128,98,19.980281829833984,19.517209815979005
128,99,20.568867111206053,22.783993339538576
128,100,20.927935981750487,20.07780170440674
256,1,17.405971336364747,16.760886192321777
256,2,18.788924598693846,17.943296241760255
256,3,18.477097702026366,18.912777519226076
256,4,18.88687686920166,18.092796897888185
256,5,18.724041748046876,18.643731117248535
256,6,19.096006202697755,17.697423934936523
256,7,22.13513603210449,17.61393299102783
256,8,18.680448150634767,17.950659370422365
256,9,18.538319778442382,17.839209747314452
256,10,18.136387252807616,17.49794864654541
256,11,18.540508651733397,17.285097694396974
256,12,17.676790618896483,17.530732727050783
256,13,16.782259368896483,16.334265899658202
256,14,16.946303939819337,16.228505516052245
256,15,16.784604835510255,16.86002883911133
256,16,16.799942398071288,16.335097312927246
256,17,18.087353515625,17.279990196228027
256,18,17.696614456176757,17.293519973754883
256,19,17.790089416503907,17.623014068603517
256,20,17.730899047851562,17.258099365234376
256,21,18.627196502685546,17.423296165466308
256,22,17.74870376586914,17.26203861236572
256,23,18.48132152557373,17.358668708801268
256,24,18.60552635192871,17.25400619506836
256,25,18.91897258758545,17.50378532409668
256,26,17.92758083343506,17.475004959106446
256,27,18.251206588745116,17.542921447753905
256,28,17.964185523986817,17.481833839416502
256,29,18.134649658203124,17.573523330688477
256,30,18.021724891662597,18.6181791305542
256,31,18.07711696624756,17.57716464996338
256,32,18.012911796569824,17.732198333740236
256,33,18.06849594116211,18.066675186157227
256,34,18.62074546813965,17.716934394836425
256,35,18.16596794128418,17.6868257522583
256,36,18.574815940856933,17.632649421691895
256,37,18.165126609802247,17.647772979736327
256,38,18.114252662658693,17.90484485626221
256,39,18.92046070098877,17.620899391174316
256,40,18.071094512939453,18.784630393981935
256,41,18.214092826843263,17.68303985595703
256,42,18.414175987243652,22.058905601501465
256,43,18.690108489990234,17.715247917175294
256,44,18.729773139953615,20.701935958862304
256,45,18.272364997863768,17.783875274658204
256,46,18.383116722106934,17.699881553649902
256,47,18.331177711486816,18.21364822387695
256,48,18.07219829559326,17.84816970825195
256,49,18.273561477661133,17.772166442871093
256,50,18.469058990478516,17.832435417175294
256,51,18.961245346069337,18.085494422912596
256,52,19.936182594299318,18.083987426757812
256,53,18.854396438598634,19.781987190246582
256,54,18.78108139038086,18.074505424499513
256,55,19.501142501831055,18.602592086791994
256,56,19.942038154602052,18.763996887207032
256,57,19.693123054504394,18.857769584655763
256,58,20.145347023010252,18.8878173828125
256,59,19.759785652160645,19.449692916870116
256,60,19.567964935302733,20.00948143005371
256,61,19.327103996276854,18.676883125305174
256,62,19.56797103881836,18.8212833404541
256,63,19.219516944885253,18.81175994873047
256,64,18.89726676940918,18.37508144378662
256,65,19.60028781890869,18.8842493057251
256,66,18.659772872924805,18.175430488586425
256,67,23.54216613769531,18.413260459899902
256,68,19.51743679046631,19.050006294250487
256,69,19.737779426574708,19.75708465576172
256,70,19.60156135559082,19.325107383728028
256,71,21.455081748962403,19.305635070800783
256,72,19.534243011474608,19.043798446655273
256,73,19.83927001953125,21.173693084716795
256,74,19.740063858032226,19.77317123413086
