sample_id,context_len,source_type,source_name,natural_prefix_start,original_num_tokens,draft_entropy_nats,draft_entropy_norm,target_entropy_nats,sampled_token_id,q_sample,p_sample,alpha_sampled,accepted,exact_accept_prob,q_max,p_at_q_argmax
89,64,natural_language,article_846#selected_16,True,505,5.407586,0.52128893,2.3959603,25616,0.0015917934,2.5847688e-05,0.016238093,0,0.15051392,0.094708025,0.018662147
90,64,math,geometry_train_698#selected_6,True,669,4.6971154,0.45279986,3.5552976,287,0.052333966,2.4584491e-05,0.00046976167,0,0.05364308,0.23271932,0.00013738938
91,64,json_config,json_row_272#selected_15,True,898,3.683343,0.35507265,2.357145e-05,29888,0.046516504,5.376833e-10,1.1558979e-08,0,0.042355176,0.093234666,1.5960858e-08
92,64,math,precalculus_train_398#selected_17,True,1012,6.388275,0.6158269,0.00022839253,29914,0.0037934193,8.133553e-11,2.1441217e-08,0,0.012949774,0.05887728,6.809124e-11
93,64,json_config,json_row_421#selected_14,True,671,2.9274704,0.28220686,0.00301641,29941,0.049517617,0.00017672486,0.0035689292,0,0.0781935,0.29630548,1.6149139e-06
94,64,math,algebra_test_709#selected_16,True,256,4.471389,0.43103993,0.41379339,4225,0.008331724,3.0813267e-09,3.6983062e-07,0,0.06700145,0.3065985,5.9304793e-06
95,64,json_config,json_row_804#selected_8,True,785,2.7189384,0.26210445,9.137151e-05,29953,0.10644091,1.4005145e-07,1.3157672e-06,0,0.06926844,0.12155933,2.918923e-07
96,64,chat,path_671fc48d-e3aa-40ff-8166-3026c869f0c8#selected_2,True,327,0.015464658,0.0014907862,2.6305072e-05,556,0.9987036,0.99999857,1.0,1,0.998704,0.9987036,0.99999857
97,64,code,mattupstate/flask-social:flask_social/views.py:login_handler#selected_1,True,333,4.976408,0.47972354,0.0922126,29918,0.32806918,0.98854315,1.0,1,0.33415267,0.32806918,0.98854315
98,64,code,elifesciences/elife-tools:elifetools/parseJATS.py:refs#selected_6,True,2221,6.1576614,0.59359586,0.0019851434,278,0.19702448,1.7939817e-09,9.105375e-09,0,0.00046379096,0.19702448,1.7939817e-09
99,64,natural_language,article_1208#selected_5,True,206,4.0225024,0.38776746,0.24980529,6483,0.00028323045,9.0709904e-07,0.003202689,0,0.49854022,0.46626568,0.96269923
