sample_id,context_len,source_type,source_name,natural_prefix_start,original_num_tokens,draft_entropy_nats,draft_entropy_norm,target_entropy_nats,sampled_token_id,q_sample,p_sample,alpha_sampled,accepted,exact_accept_prob,q_max,p_at_q_argmax
70,128,json_config,json_config_template_13,True,151,6.203929,0.598056,0.004899809,995,0.003817182,2.2012896e-10,5.7667922e-08,0,0.0010720761,0.11464681,1.1073737e-07
71,128,chat,chat_template_78,True,167,2.7907937,0.2690313,2.9632728,723,0.5324687,0.08328848,0.1564195,0,0.35084283,0.5324687,0.08328848
72,128,math,math_template_123,True,172,4.314534,0.4159192,4.0009637,3544,0.0010529435,0.00023763785,0.22568908,0,0.55492663,0.2468105,0.086273625
73,128,json_config,json_config_template_95,True,145,4.7545185,0.4583335,0.27988887,2115,0.000114306735,6.830227e-09,5.9753496e-05,0,0.26669165,0.21553479,0.94571483
74,128,code,code_template_63,True,189,5.1972804,0.50101554,1.1080137,4603,0.0006350068,4.533754e-11,7.139693e-08,0,0.036192793,0.19603677,1.1133678e-06
75,128,json_config,json_config_template_145,True,156,3.7073188,0.3573839,0.031082641,10679,0.0002275502,1.9816206e-10,8.708498e-07,0,0.5843427,0.5801958,0.99547666
76,128,chat,chat_template_198,True,171,5.303525,0.51125747,2.3974762,5618,0.006793525,0.0011729158,0.17265202,0,0.16272685,0.21299793,0.028196005
77,128,math,math_template_136,True,141,5.4744387,0.5277335,0.30279604,2529,4.405417e-07,2.215961e-08,0.05030082,0,0.20513648,0.19797078,0.93950415
78,128,chat,chat_template_61,True,132,5.01881,0.48381105,3.0652444,6775,0.0010506309,0.00013460306,0.12811641,0,0.25075287,0.19104631,0.0020729029
79,128,chat,chat_template_207,True,129,1.5357144,0.14804219,1.0259999,29889,0.7564523,0.7510525,0.9928616,1,0.83140194,0.7564523,0.7510525
80,128,code,code_template_123,True,189,5.1972804,0.50101554,1.1080137,29918,0.0656641,5.207291e-08,7.9301947e-07,0,0.036192793,0.19603677,1.1133678e-06
81,128,chat,chat_template_20,True,158,3.4257424,0.33024007,1.9866796,393,0.26085025,0.40622994,1.0,1,0.5145194,0.26085025,0.40622994
82,128,json_config,json_config_template_107,True,147,6.8927536,0.6644584,0.76534367,666,0.00014135687,2.4211854e-06,0.017128177,0,0.027195001,0.015835946,2.3466932e-06
83,128,math,math_template_16,True,141,5.5071125,0.53088325,0.28972885,1353,0.036718752,0.00021309675,0.0058034854,0,0.19865322,0.19089529,0.9461759
84,128,natural_language,natural_template_76,True,155,6.520033,0.6285283,0.99837935,3058,0.0039056467,5.3890903e-06,0.0013798202,0,0.043896265,0.040381063,0.0018596185
85,128,chat,chat_template_94,True,171,5.652006,0.5448509,1.797078,30003,5.8853766e-05,0.0009925824,1.0,1,0.15382904,0.15726393,0.038129658
86,128,json_config,json_config_template_19,True,150,5.085789,0.49026784,1.1064029,376,0.0023828112,2.937916e-08,1.2329622e-05,0,0.33907062,0.31208667,0.6986501
87,128,math,math_template_30,True,157,3.9509888,0.3808736,2.5799851,5190,0.29232085,0.016207637,0.055444684,0,0.37690842,0.29232085,0.016207637
88,128,chat,chat_template_102,True,132,5.0533543,0.48714113,3.1486907,278,0.18172221,0.0028856285,0.015879339,0,0.26011688,0.18172221,0.0028856285
89,128,json_config,json_config_template_160,True,149,6.848503,0.66019267,3.9061513,2834,1.6272665e-05,5.6251525e-07,0.03456811,0,0.08740479,0.027491042,3.906537e-06
90,128,json_config,json_config_template_70,True,150,5.2736707,0.5083795,1.2545238,1068,0.0015120173,1.0427847e-06,0.0006896645,0,0.30937436,0.27927437,0.634905
91,128,code,code_template_142,True,194,2.4747763,0.23856734,0.12081321,7621,0.00017654103,4.442667e-10,2.5165068e-06,0,0.115611315,0.4590133,3.6560752e-07
92,128,math,math_template_209,True,159,3.781277,0.36451343,4.633095,960,0.1149201,0.05418697,0.47151864,1,0.6577883,0.15955076,0.10650818
93,128,chat,chat_template_187,True,128,2.8802094,0.27765092,2.5663743,13,0.5196663,0.5444241,1.0,1,0.72965133,0.5196663,0.5444241
94,128,math,math_template_219,True,171,5.106248,0.49224004,4.4161873,16112,0.0020332974,4.8075635e-05,0.023644172,0,0.40148687,0.1453566,0.045626514
95,128,math,math_template_159,True,172,4.318966,0.41634643,4.004627,769,0.24576451,0.08574285,0.34888217,0,0.55659306,0.24576451,0.08574285
96,128,code,code_template_128,True,189,5.1972804,0.50101554,1.1080137,302,0.0018994864,9.956233e-10,5.241539e-07,0,0.036192793,0.19603677,1.1133678e-06
97,128,math,math_template_129,True,159,3.781277,0.36451343,4.633095,739,0.008724299,0.008149114,0.93407094,1,0.6577883,0.15955076,0.10650818
98,128,math,math_template_208,True,141,5.494003,0.52961946,0.2648785,28869,0.0015014668,0.000112124384,0.074676566,1,0.2032905,0.19588667,0.9521557
99,128,math,math_template_154,True,156,5.382701,0.51889,0.42487118,1196,0.0045342497,1.5773519e-06,0.00034787494,0,0.14030392,0.12207411,0.91729546
