t,policy,budget,primary,alloc,N_acc,time_ms,throughput,models_used,uses_new,no_delay_ok
128,random_residual,12,Balanced,{'Balanced': 12},6.4981994227448565,101.71397277293721,0.06388698863676492,1,0,1
129,proposed,12,Balanced,{'Balanced': 12},7.143740074855651,92.05810611005444,0.07760033718611796,1,0,1
129,best_all,12,Balanced,{'Balanced': 12},7.562342215432643,92.05810611005444,0.08214748852634386,1,0,1
129,primary_only,12,Balanced,{'Balanced': 12},6.62766976400687,92.05810611005444,0.07199441791778298,1,0,1
129,random_residual,12,Balanced,{'Balanced': 12},6.854022955912534,92.05810611005444,0.07445322574547238,1,0,1
130,proposed,24,Balanced,"{'Balanced': 10, 'Diverse': 6, 'Accurate': 7, 'Fast': 1}",10.08081779661053,96.07078544886764,0.10493114789798307,4,1,1
130,best_all,24,Balanced,{'Balanced': 24},7.834597974903656,143.48988507728234,0.05460035019669863,1,0,1
130,primary_only,24,Balanced,{'Balanced': 10},6.586361913194362,96.07078544886764,0.06855738591519961,1,0,1
130,random_residual,24,Balanced,"{'Balanced': 10, 'Accurate': 7, 'Diverse': 6, 'Fast': 1}",9.819418598847564,96.07078544886764,0.10221024584080053,4,1,1
131,proposed,8,Balanced,{'Balanced': 8},5.426935461098643,85.13155770474337,0.06374763492429629,1,0,1
131,best_all,8,Balanced,{'Balanced': 8},6.006176293150469,85.13155770474337,0.07055170203723192,1,0,1
131,primary_only,8,Balanced,{'Balanced': 8},6.079326361453986,85.13155770474337,0.07141096116834307,1,0,1
131,random_residual,8,Balanced,{'Balanced': 8},6.260253221319384,85.13155770474337,0.07353622311283721,1,0,1
132,proposed,12,Balanced,{'Balanced': 12},7.147656169928345,98.21488762076633,0.07277568954237708,1,0,1
132,best_all,12,Balanced,{'Balanced': 12},6.481581804212824,98.21488762076633,0.065993883017409,1,0,1
132,primary_only,12,Balanced,{'Balanced': 12},7.344582973523162,98.21488762076633,0.0747807501636874,1,0,1
