prompt_id,method,budget,round,selected_nodes,accepted_tokens,draft_time_s,comm_time_s,verify_time_s,total_round_time_s,round_tps,input_len,expansions,generated_candidates
1,chain,8,16,8,1,0.014188595116138458,2.56e-08,0.030537564307451248,0.04472618502358971,22.35826729850925,27,8.0,
1,chain,8,17,8,2,0.013719800859689713,2.56e-08,0.03052520379424095,0.044245030253930666,45.20281687054159,28,8.0,
1,chain,8,18,8,1,0.013561945408582687,2.56e-08,0.030555110424757004,0.04411708143333969,22.666957276196666,30,8.0,
1,chain,8,19,8,1,0.013793189078569412,2.56e-08,0.030462946742773056,0.04425616142134247,22.59572380169762,31,8.0,
1,bfs,8,1,8,3,0.014274656772613525,2.56e-08,0.02927440032362938,0.043549082696242906,68.88778854253152,8,8.0,32.0
1,bfs,8,2,8,1,0.014266382902860641,2.56e-08,0.02935047447681427,0.04361688297967491,22.926901962847534,11,8.0,32.0
1,bfs,8,3,8,2,0.014077682048082352,2.56e-08,0.029279377311468124,0.04335708495955048,46.1285624221711,12,8.0,32.0
1,bfs,8,4,8,2,0.014351945370435715,2.56e-08,0.029384352266788483,0.0437363232372242,45.728581004673714,14,8.0,32.0
1,bfs,8,5,8,1,0.014251567423343658,2.56e-08,0.029462076723575592,0.04371366974691925,22.876139335578788,16,8.0,32.0
1,bfs,8,6,8,1,0.014524329453706741,2.56e-08,0.030361607670783997,0.04488596272449074,22.27867999931254,17,8.0,32.0
1,bfs,8,7,8,2,0.014310583472251892,2.56e-08,0.030353855341672897,0.04466446441392479,44.778327161054484,18,8.0,32.0
1,bfs,8,8,8,2,0.014431364834308624,2.56e-08,0.030335593968629837,0.04476698440293846,44.67578119621392,20,8.0,32.0
1,bfs,8,9,8,2,0.014694102108478546,2.56e-08,0.030425865203142166,0.045119992911620714,44.32624809843215,22,8.0,32.0
1,bfs,8,10,8,1,0.014380913227796555,2.56e-08,0.030410103499889374,0.04479104232768593,22.325892589954016,24,8.0,32.0
1,bfs,8,11,8,2,0.014197312295436859,2.56e-08,0.030470695346593857,0.04466803324203072,44.77474952082925,25,8.0,32.0
1,bfs,8,12,8,1,0.014897245913743973,2.56e-08,0.030648641288280487,0.04554591280202446,21.95586691492439,27,8.0,32.0
1,bfs,8,13,8,2,0.014430388808250427,2.56e-08,0.03064226731657982,0.04507268172483025,44.37277578046156,28,8.0,32.0
1,bfs,8,14,8,2,0.014085229486227036,2.56e-08,0.03063059225678444,0.044715847343011476,44.72687243648028,30,8.0,32.0
1,greedy,8,1,8,4,0.014346655458211899,2.56e-08,0.02944061905145645,0.04378730010966835,91.35068821283159,8,8.0,32.0
1,greedy,8,2,8,2,0.014505773782730103,2.56e-08,0.029305096715688705,0.04381089609841881,45.650743949795235,12,8.0,32.0
1,greedy,8,3,8,3,0.014307260513305664,2.56e-08,0.02939596399664879,0.043703250109954454,68.64478024980295,14,8.0,32.0
1,greedy,8,4,8,1,0.0143376924097538,2.56e-08,0.030293915420770645,0.044631633430524446,22.40563302610566,17,8.0,32.0
1,greedy,8,5,8,2,0.014731038361787796,2.56e-08,0.0304412841796875,0.0451723481414753,44.27487350748735,18,8.0,32.0
1,greedy,8,6,8,2,0.014225181192159653,2.56e-08,0.03027874231338501,0.044503949105544664,44.93983208674,20,8.0,32.0
1,greedy,8,7,8,2,0.014365486800670624,2.56e-08,0.03033646196126938,0.044701974361940004,44.74075314451509,22,8.0,32.0
1,greedy,8,8,8,1,0.014747537672519684,2.56e-08,0.030355185270309448,0.045102748542829134,22.17159779188201,24,8.0,32.0
1,greedy,8,9,8,3,0.01448950543999672,2.56e-08,0.0305299274623394,0.04501945850233612,66.6378517157048,25,8.0,32.0
1,greedy,8,10,8,2,0.014312732964754105,2.56e-08,0.030629508197307587,0.04494226676206169,44.50153817538,28,8.0,32.0
1,greedy,8,11,8,2,0.01426171138882637,2.56e-08,0.03064391389489174,0.04490565088371811,44.537824541925524,30,8.0,32.0
1,chain,16,1,16,2,0.02755214273929596,5.12e-08,0.029454823583364487,0.05700701752266045,35.083400025356426,8,16.0,
1,chain,16,2,16,2,0.029051799327135086,5.12e-08,0.03095603734254837,0.06000788786968346,33.328951759530575,10,16.0,
1,chain,16,3,16,1,0.029122520238161087,5.12e-08,0.030513945966959,0.05963651740512009,16.76824944700988,12,16.0,
1,chain,16,4,16,1,0.029159575700759888,5.12e-08,0.03009694069623947,0.05925656759699936,16.875766527702798,13,16.0,
1,chain,16,5,16,1,0.02871740609407425,5.12e-08,0.029661312699317932,0.058378769993392185,17.12951472107392,14,16.0,
1,chain,16,6,16,2,0.02835153043270111,5.12e-08,0.02965022623538971,0.058001807868090824,34.48168382179484,15,16.0,
1,chain,16,7,16,1,0.027216419577598572,5.12e-08,0.030623935163021088,0.05784040594061966,17.288951965977276,17,16.0,
1,chain,16,8,16,1,0.027638737112283707,5.12e-08,0.030677005648612976,0.058315793960896686,17.148013120948747,18,16.0,
1,chain,16,9,16,1,0.027617625892162323,5.12e-08,0.03063841164112091,0.05825608873328324,17.16558769639256,19,16.0,
1,chain,16,10,16,1,0.02750726416707039,5.12e-08,0.03064601868391037,0.05815333405098076,17.195918623055025,20,16.0,
1,chain,16,11,16,1,0.02785468101501465,5.12e-08,0.030700594186782837,0.05855532640179749,17.077865694713346,21,16.0,
1,chain,16,12,16,2,0.027611292898654938,5.12e-08,0.030788879841566086,0.05840022394022103,34.2464440212972,22,16.0,
1,chain,16,13,16,1,0.027324147522449493,5.12e-08,0.03063960373401642,0.057963802456465915,17.25214629856377,24,16.0,
1,chain,16,14,16,1,0.028211578726768494,5.12e-08,0.030777983367443085,0.05898961329421158,16.952136895905472,25,16.0,
1,chain,16,15,16,1,0.027707744389772415,5.12e-08,0.03064431995153427,0.05835211554130669,17.137339250230152,26,16.0,
1,chain,16,16,16,1,0.02754221111536026,5.12e-08,0.03064711019396782,0.05818937250932808,17.18526866464653,27,16.0,
1,chain,16,17,16,2,0.027745045721530914,5.12e-08,0.030732236802577972,0.05847733372410889,34.20128573980186,28,16.0,
1,chain,16,18,16,1,0.027581490576267242,5.12e-08,0.030787557363510132,0.05836909913977738,17.13235281574733,30,16.0,
1,chain,16,19,16,1,0.0288250595331192,5.12e-08,0.030760888010263443,0.05958599874338265,16.78246603378542,31,16.0,
1,bfs,16,1,16,3,0.02918378636240959,5.12e-08,0.030180878937244415,0.05936471649965401,50.535068250809964,8,16.0,64.0
1,bfs,16,2,16,1,0.028972946107387543,5.12e-08,0.029818207025527954,0.0587912043329155,17.009347084256426,11,16.0,64.0
1,bfs,16,3,16,2,0.028766188770532608,5.12e-08,0.02988060563802719,0.0586468456085598,34.10243090223577,12,16.0,64.0
